recording_id,source_file,signal_id,class,window_id,start_sample,end_sample,label
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,1,6000,18000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,2,12000,24000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,3,18000,30000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,4,24000,36000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,5,30000,42000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,6,36000,48000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,7,42000,54000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,8,48000,60000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,9,54000,66000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,10,60000,72000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,11,66000,78000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,12,72000,84000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,13,78000,90000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,14,84000,96000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,15,90000,102000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,16,96000,108000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,17,102000,114000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,18,108000,120000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,19,114000,126000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,20,120000,132000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,21,126000,138000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,22,132000,144000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,23,138000,150000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,24,144000,156000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,25,150000,162000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,26,156000,168000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,27,162000,174000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,28,168000,180000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,29,174000,186000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,30,180000,192000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,31,186000,198000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,32,192000,204000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,33,198000,210000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,34,204000,216000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,35,210000,222000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,36,216000,228000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,37,222000,234000,0
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,38,228000,240000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,0,0,12000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,1,6000,18000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,2,12000,24000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,3,18000,30000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,4,24000,36000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,5,30000,42000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,6,36000,48000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,7,42000,54000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,8,48000,60000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,9,54000,66000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,10,60000,72000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,11,66000,78000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,12,72000,84000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,13,78000,90000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,14,84000,96000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,15,90000,102000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,16,96000,108000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,17,102000,114000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,18,108000,120000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,19,114000,126000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,20,120000,132000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,21,126000,138000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,22,132000,144000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,23,138000,150000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,24,144000,156000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,25,150000,162000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,26,156000,168000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,27,162000,174000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,28,168000,180000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,29,174000,186000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,30,180000,192000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,31,186000,198000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,32,192000,204000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,33,198000,210000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,34,204000,216000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,35,210000,222000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,36,216000,228000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,37,222000,234000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,38,228000,240000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,39,234000,246000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,40,240000,252000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,41,246000,258000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,42,252000,264000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,43,258000,270000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,44,264000,276000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,45,270000,282000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,46,276000,288000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,47,282000,294000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,48,288000,300000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,49,294000,306000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,50,300000,312000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,51,306000,318000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,52,312000,324000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,53,318000,330000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,54,324000,336000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,55,330000,342000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,56,336000,348000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,57,342000,354000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,58,348000,360000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,59,354000,366000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,60,360000,372000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,61,366000,378000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,62,372000,384000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,63,378000,390000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,64,384000,396000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,65,390000,402000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,66,396000,408000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,67,402000,414000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,68,408000,420000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,69,414000,426000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,70,420000,432000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,71,426000,438000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,72,432000,444000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,73,438000,450000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,74,444000,456000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,75,450000,462000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,76,456000,468000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,77,462000,474000,0
NORMAL_2_X099,NORMAL_2.mat,X099,Healthy,78,468000,480000,0
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,0,0,12000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,1,6000,18000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,2,12000,24000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,3,18000,30000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,4,24000,36000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,5,30000,42000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,6,36000,48000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,7,42000,54000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,8,48000,60000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,9,54000,66000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,10,60000,72000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,11,66000,78000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,12,72000,84000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,13,78000,90000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,14,84000,96000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,15,90000,102000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,16,96000,108000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,17,102000,114000,3
OR007@6_0_X130,OR007@6_0.mat,X130,Outer Race,18,108000,120000,3
B007_2_X120,B007_2.mat,X120,Ball,0,0,12000,1
B007_2_X120,B007_2.mat,X120,Ball,1,6000,18000,1
B007_2_X120,B007_2.mat,X120,Ball,2,12000,24000,1
B007_2_X120,B007_2.mat,X120,Ball,3,18000,30000,1
B007_2_X120,B007_2.mat,X120,Ball,4,24000,36000,1
B007_2_X120,B007_2.mat,X120,Ball,5,30000,42000,1
B007_2_X120,B007_2.mat,X120,Ball,6,36000,48000,1
B007_2_X120,B007_2.mat,X120,Ball,7,42000,54000,1
B007_2_X120,B007_2.mat,X120,Ball,8,48000,60000,1
B007_2_X120,B007_2.mat,X120,Ball,9,54000,66000,1
B007_2_X120,B007_2.mat,X120,Ball,10,60000,72000,1
B007_2_X120,B007_2.mat,X120,Ball,11,66000,78000,1
B007_2_X120,B007_2.mat,X120,Ball,12,72000,84000,1
B007_2_X120,B007_2.mat,X120,Ball,13,78000,90000,1
B007_2_X120,B007_2.mat,X120,Ball,14,84000,96000,1
B007_2_X120,B007_2.mat,X120,Ball,15,90000,102000,1
B007_2_X120,B007_2.mat,X120,Ball,16,96000,108000,1
B007_2_X120,B007_2.mat,X120,Ball,17,102000,114000,1
B007_2_X120,B007_2.mat,X120,Ball,18,108000,120000,1
B007_0_X118,B007_0.mat,X118,Ball,0,0,12000,1
B007_0_X118,B007_0.mat,X118,Ball,1,6000,18000,1
B007_0_X118,B007_0.mat,X118,Ball,2,12000,24000,1
B007_0_X118,B007_0.mat,X118,Ball,3,18000,30000,1
B007_0_X118,B007_0.mat,X118,Ball,4,24000,36000,1
B007_0_X118,B007_0.mat,X118,Ball,5,30000,42000,1
B007_0_X118,B007_0.mat,X118,Ball,6,36000,48000,1
B007_0_X118,B007_0.mat,X118,Ball,7,42000,54000,1
B007_0_X118,B007_0.mat,X118,Ball,8,48000,60000,1
B007_0_X118,B007_0.mat,X118,Ball,9,54000,66000,1
B007_0_X118,B007_0.mat,X118,Ball,10,60000,72000,1
B007_0_X118,B007_0.mat,X118,Ball,11,66000,78000,1
B007_0_X118,B007_0.mat,X118,Ball,12,72000,84000,1
B007_0_X118,B007_0.mat,X118,Ball,13,78000,90000,1
B007_0_X118,B007_0.mat,X118,Ball,14,84000,96000,1
B007_0_X118,B007_0.mat,X118,Ball,15,90000,102000,1
B007_0_X118,B007_0.mat,X118,Ball,16,96000,108000,1
B007_0_X118,B007_0.mat,X118,Ball,17,102000,114000,1
B007_0_X118,B007_0.mat,X118,Ball,18,108000,120000,1
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,0,0,12000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,1,6000,18000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,2,12000,24000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,3,18000,30000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,4,24000,36000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,5,30000,42000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,6,36000,48000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,7,42000,54000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,8,48000,60000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,9,54000,66000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,10,60000,72000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,11,66000,78000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,12,72000,84000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,13,78000,90000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,14,84000,96000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,15,90000,102000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,16,96000,108000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,17,102000,114000,3
OR007@6_2_X132,OR007@6_2.mat,X132,Outer Race,18,108000,120000,3
